# suite|fixture|observed-error-or-exception
resvg|tests/filters/flood-color/inheritance-3|0.53568995973950018
resvg|tests/filters/flood-color/inheritance-4|0.47844653039490881
resvg|tests/filters/flood-color/inheritance-5|0.47844653039490881
resvg|tests/filters/flood-color/simple-case|0.53568995973950018
resvg|tests/filters/flood-opacity/50percent|0.48017062262883392
resvg|tests/filters/flood-opacity/simple-case|0.4801702786881476
resvg|tests/masking/clip/simple-case|0.40821604366787073
resvg|tests/masking/clipPath/clip-path-on-child-with-transform|0.22761325038176428
resvg|tests/masking/clipPath/clip-path-on-children|0.1558006239129027
resvg|tests/masking/clipPath/clip-path-with-transform|0.31655475101813946
resvg|tests/masking/clipPath/g-is-not-a-valid-child|0.14191873235566785
resvg|tests/masking/clipPath/image-is-not-a-valid-child|0.22628537003422461
resvg|tests/masking/clipPath/invalid-clip-path-on-child|0.211385426345814
resvg|tests/masking/clipPath/invalid-clip-path-on-self|0.26716920776577896
resvg|tests/masking/clipPath/invalid-transform-on-clipPath|0.33150972975576642
resvg|tests/masking/clipPath/invisible-child-1|0.32268148666190455
resvg|tests/masking/clipPath/invisible-child-2|0.32268148666190455
resvg|tests/masking/clipPath/mask-has-no-effect|0.13520835239500154
resvg|tests/masking/clipPath/multiple-children|0.13284947648613046
resvg|tests/masking/clipPath/on-the-root-svg-with-size|0.49501272782355171
resvg|tests/masking/clipPath/on-the-root-svg-without-size|0.49501272782355171
resvg|tests/masking/clipPath/recursive-on-child|0.16544868644381272
resvg|tests/masking/clipPath/recursive-on-self|0.16544868644381272
resvg|tests/masking/clipPath/switch-is-not-a-valid-child|0.56568990506418171
resvg|tests/masking/clipPath/symbol-via-use-is-not-a-valid-child|0.56568990506418171
resvg|tests/masking/clipPath/transform-on-clipPath|0.18135090724809613
resvg|tests/masking/clipPath/with-invalid-child-via-use|0.32268097485600583
resvg|tests/masking/mask/color-interpolation=linearRGB|0.49425173931330935
resvg|tests/masking/mask/half-width-region-with-rotation|0.48144889582023548
resvg|tests/masking/mask/invalid-child|0.69812443437734362
resvg|tests/masking/mask/invisible-child-1|0.69812443437734362
resvg|tests/masking/mask/invisible-child-2|0.69812443437734362
resvg|tests/masking/mask/mask-on-child|0.41934462197515565
resvg|tests/masking/mask/mask-on-self|0.33998671274601633
resvg|tests/masking/mask/mask-on-self-with-mask-type=alpha|0.35380453439552828
resvg|tests/masking/mask/mask-on-self-with-mixed-mask-type|0.38280665075675036
resvg|tests/masking/mask/mask-type-in-style|0.4142435945897156
resvg|tests/masking/mask/mask-type=alpha|0.4142435945897156
resvg|tests/masking/mask/mask-type=invalid|0.49425173931330935
resvg|tests/masking/mask/mask-type=luminance|0.49425173931330935
resvg|tests/masking/mask/maskContentUnits=objectBoundingBox|0.39312906461965275
resvg|tests/masking/mask/maskUnits=objectBoundingBox-with-percent|0.51401447815947787
resvg|tests/masking/mask/maskUnits=userSpaceOnUse-with-percent|0.51401447815947787
resvg|tests/masking/mask/maskUnits=userSpaceOnUse-with-rect|0.52058776520267513
resvg|tests/masking/mask/maskUnits=userSpaceOnUse-with-width-only|0.52415309302867719
resvg|tests/masking/mask/maskUnits=userSpaceOnUse-without-rect|0.49425173931330935
resvg|tests/masking/mask/nested-objectBoundingBox|0.52052436521057521
resvg|tests/masking/mask/no-children|0.69812443437734362
resvg|tests/masking/mask/on-a-horizontal-line|0.79384250821449676
resvg|tests/masking/mask/on-a-small-object|0.13613736090056747
resvg|tests/masking/mask/on-group-with-transform|0.40305133323545311
resvg|tests/masking/mask/recursive|0.37338486950515415
resvg|tests/masking/mask/recursive-on-child|0.39706546460681363
resvg|tests/masking/mask/recursive-on-self|0.37338486950511068
resvg|tests/masking/mask/self-recursive|0.37338486950515415
resvg|tests/masking/mask/simple-case|0.49425173931330935
resvg|tests/masking/mask/transform-has-no-effect|0.49425173931330935
resvg|tests/masking/mask/transform-on-shape|0.47793814374396248
resvg|tests/masking/mask/with-clip-path|0.20432122341217959
resvg|tests/masking/mask/with-grayscale-image|0.53341477804224369
resvg|tests/masking/mask/with-image|0.53355103905810519
resvg|tests/masking/mask/with-opacity-1|0.34198658640995133
resvg|tests/masking/mask/with-opacity-2|0.52217691394821564
resvg|tests/masking/mask/with-opacity-3|0.30657967258951802
resvg|tests/paint-servers/linearGradient/hsla-color|0.19233285427097938
resvg|tests/paint-servers/linearGradient/single-stop-with-opacity-used-by-fill|0.22291550075616015
resvg|tests/paint-servers/linearGradient/single-stop-with-opacity-used-by-fill-and-stroke|0.22700238909684986
resvg|tests/paint-servers/pattern/invalid-patternUnits-and-patternContentUnits|0.3002318938915205
resvg|tests/paint-servers/pattern/patternContentUnits-with-viewBox|0.26816031640140287
resvg|tests/paint-servers/pattern/text-child|0.13913535844654715
resvg|tests/paint-servers/pattern/tiny-pattern-upscaled|0.17212562477074922
resvg|tests/paint-servers/pattern/with-viewBox|0.17026667844596324
resvg|tests/paint-servers/radialGradient/attributes-via-xlink-href|0.4800516326339076
resvg|tests/paint-servers/radialGradient/attributes-via-xlink-href-from-rect|0.47872979745951982
resvg|tests/paint-servers/radialGradient/attributes-via-xlink-href-only-required|0.4800516326339076
resvg|tests/paint-servers/radialGradient/default-attributes|0.47872979745951982
resvg|tests/paint-servers/radialGradient/focal-point-correction|0.72744969801224735
resvg|tests/paint-servers/radialGradient/fr=-1|0.47872989682072264
resvg|tests/paint-servers/radialGradient/fr=0.2|0.48067366928347988
resvg|tests/paint-servers/radialGradient/fr=0.5|0.40687413433939418
resvg|tests/paint-servers/radialGradient/fr=0.7|0.49359298644540461
resvg|tests/paint-servers/radialGradient/fx-resolving-1|0.48432268014092744
resvg|tests/paint-servers/radialGradient/fx-resolving-2|0.50152494312041462
resvg|tests/paint-servers/radialGradient/fx-resolving-3|0.50449114471167888
resvg|tests/paint-servers/radialGradient/fy-resolving-1|0.4843226315852821
resvg|tests/paint-servers/radialGradient/fy-resolving-2|0.50152494312037443
resvg|tests/paint-servers/radialGradient/fy-resolving-3|0.50449109809714854
resvg|tests/paint-servers/radialGradient/gradientTransform|0.56856705095783555
resvg|tests/paint-servers/radialGradient/gradientTransform-and-transform|0.39944126591423823
resvg|tests/paint-servers/radialGradient/gradientUnits=objectBoundingBox-with-percent|0.4194388576105032
resvg|tests/paint-servers/radialGradient/gradientUnits=userSpaceOnUse|0.3488223452361115
resvg|tests/paint-servers/radialGradient/gradientUnits=userSpaceOnUse-with-percent|0.58223144522397308
resvg|tests/paint-servers/radialGradient/hsla-color|0.22656714209433182
resvg|tests/paint-servers/radialGradient/invalid-gradientTransform|0.21700000984298504
resvg|tests/paint-servers/radialGradient/invalid-gradientUnits|0.47872979745951982
resvg|tests/paint-servers/radialGradient/invalid-spreadMethod|0.47872979745951982
resvg|tests/paint-servers/radialGradient/invalid-xlink-href|0.47872979745951982
resvg|tests/paint-servers/radialGradient/many-stops|0.35712067679546994
resvg|tests/paint-servers/radialGradient/spreadMethod=pad|0.47872979745951982
resvg|tests/paint-servers/radialGradient/spreadMethod=repeat|0.43224879893269258
resvg|tests/paint-servers/radialGradient/stops-via-xlink-href|0.47872979745951982
resvg|tests/paint-servers/radialGradient/stops-via-xlink-href-complex-order|0.47872979745951982
resvg|tests/paint-servers/radialGradient/stops-via-xlink-href-from-linearGradient|0.47872979745951982
resvg|tests/paint-servers/radialGradient/unresolved-xlink-href|0.47872979745951982
resvg|tests/paint-servers/radialGradient/xlink-href-not-to-gradient|0.47872979745951982
resvg|tests/paint-servers/stop-opacity/50percent|0.13895720885744262
resvg|tests/paint-servers/stop/hsla-color|0.17733168225052803
resvg|tests/painting/color/recursive-nested-context|0.45900059095856632
resvg|tests/painting/color/recursive-nested-context-without-color|0.40000633581423306
resvg|tests/painting/context/in-nested-use|0.25510893638398952
resvg|tests/painting/context/in-use|0.25397997215633744
resvg|tests/painting/context/with-gradient-and-gradient-transform|0.21573317920066726
resvg|tests/painting/context/with-gradient-in-use|0.2168948036492524
resvg|tests/painting/context/with-pattern-and-transform-in-use|0.24576434244433393
resvg|tests/painting/context/with-pattern-in-use|0.15779254521083513
resvg|tests/painting/context/with-pattern-objectBoundingBox-in-use|0.24577693576614631
resvg|tests/painting/context/with-viewbox|0.15345978040360278
resvg|tests/painting/context/without-context-element|0.40000633581423306
resvg|tests/painting/display/bBox-impact|0.18584963979469349
resvg|tests/painting/display/none-on-svg|0.56903132028954206
resvg|tests/painting/fill-opacity/50percent|0.21734391131839437
resvg|tests/painting/fill-opacity/with-pattern|0.16343703187273134
resvg|tests/painting/fill/#RGBA|0.22223362648562228
resvg|tests/painting/fill/#RRGGBBAA|0.22327056731953149
resvg|tests/painting/fill/hsl-120-200percent-25percent|0.19922840748583065
resvg|tests/painting/fill/hsl-360-100percent-25percent|0.17299806061348943
resvg|tests/painting/fill/hsl-999-100percent-25percent|0.14369055518860388
resvg|tests/painting/fill/hsl-with-alpha|0.22291624161931606
